operation,latency_ms,timestamp
read,1.187,2026-01-28T23:35:03.493167+05:30
read,1.558,2026-01-28T23:35:03.493169+05:30
read,1.575,2026-01-28T23:35:03.49317+05:30
read,61.689,2026-01-28T23:35:03.49317+05:30
read,61.690,2026-01-28T23:35:03.49317+05:30
read,44.992,2026-01-28T23:35:03.493171+05:30
read,29.964,2026-01-28T23:35:03.493171+05:30
read,30.098,2026-01-28T23:35:03.493171+05:30
read,15.045,2026-01-28T23:35:03.493171+05:30
read,30.111,2026-01-28T23:35:03.493172+05:30
read,15.221,2026-01-28T23:35:03.493172+05:30
read,15.281,2026-01-28T23:35:03.493172+05:30
read,29.904,2026-01-28T23:35:03.493172+05:30
read,67.673,2026-01-28T23:35:03.493173+05:30
read,67.645,2026-01-28T23:35:03.493173+05:30
read,30.043,2026-01-28T23:35:03.493173+05:30
read,15.125,2026-01-28T23:35:03.493173+05:30
read,38.113,2026-01-28T23:35:03.493174+05:30
read,30.043,2026-01-28T23:35:03.493174+05:30
read,30.217,2026-01-28T23:35:03.493174+05:30
read,21.106,2026-01-28T23:35:03.493174+05:30
read,20.090,2026-01-28T23:35:03.493175+05:30
read,34.985,2026-01-28T23:35:03.493175+05:30
read,14.133,2026-01-28T23:35:03.493175+05:30
read,28.115,2026-01-28T23:35:03.493175+05:30
read,14.197,2026-01-28T23:35:03.493176+05:30
read,69.885,2026-01-28T23:35:03.493176+05:30
read,69.909,2026-01-28T23:35:03.493176+05:30
read,42.022,2026-01-28T23:35:03.493176+05:30
read,42.077,2026-01-28T23:35:03.493177+05:30
read,41.842,2026-01-28T23:35:03.493177+05:30
read,42.017,2026-01-28T23:35:03.493177+05:30
read,28.206,2026-01-28T23:35:03.493177+05:30
read,42.312,2026-01-28T23:35:03.493178+05:30
read,14.009,2026-01-28T23:35:03.493178+05:30
read,27.905,2026-01-28T23:35:03.493178+05:30
read,28.238,2026-01-28T23:35:03.493178+05:30
read,28.230,2026-01-28T23:35:03.493179+05:30
read,27.980,2026-01-28T23:35:03.493179+05:30
read,28.202,2026-01-28T23:35:03.493179+05:30
read,56.345,2026-01-28T23:35:03.493179+05:30
read,70.172,2026-01-28T23:35:03.49318+05:30
read,42.588,2026-01-28T23:35:03.49318+05:30
read,28.680,2026-01-28T23:35:03.49318+05:30
read,14.981,2026-01-28T23:35:03.49318+05:30
read,15.036,2026-01-28T23:35:03.493181+05:30
read,14.790,2026-01-28T23:35:03.493181+05:30
read,28.388,2026-01-28T23:35:03.493181+05:30
read,29.077,2026-01-28T23:35:03.493181+05:30
read,41.911,2026-01-28T23:35:03.493182+05:30
read,28.450,2026-01-28T23:35:03.493182+05:30
read,41.921,2026-01-28T23:35:03.493182+05:30
read,28.189,2026-01-28T23:35:03.493182+05:30
read,35.668,2026-01-28T23:35:03.493183+05:30
read,14.075,2026-01-28T23:35:03.493183+05:30
read,27.756,2026-01-28T23:35:03.493183+05:30
read,41.897,2026-01-28T23:35:03.493183+05:30
read,41.884,2026-01-28T23:35:03.493184+05:30
read,42.038,2026-01-28T23:35:03.493184+05:30
read,27.965,2026-01-28T23:35:03.493184+05:30
read,14.215,2026-01-28T23:35:03.493184+05:30
read,27.968,2026-01-28T23:35:03.493185+05:30
read,0.190,2026-01-28T23:35:03.493185+05:30
read,0.251,2026-01-28T23:35:03.493185+05:30
read,0.222,2026-01-28T23:35:03.493185+05:30
read,13.651,2026-01-28T23:35:03.493186+05:30
read,14.127,2026-01-28T23:35:03.493186+05:30
read,27.650,2026-01-28T23:35:03.493186+05:30
read,31.665,2026-01-28T23:35:03.493186+05:30
read,17.977,2026-01-28T23:35:03.493187+05:30
read,17.991,2026-01-28T23:35:03.493187+05:30
read,0.302,2026-01-28T23:35:03.493187+05:30
read,0.458,2026-01-28T23:35:03.493187+05:30
read,7.929,2026-01-28T23:35:03.493188+05:30
read,7.778,2026-01-28T23:35:03.493188+05:30
read,21.833,2026-01-28T23:35:03.493188+05:30
read,21.596,2026-01-28T23:35:03.493188+05:30
read,42.015,2026-01-28T23:35:03.493189+05:30
read,47.938,2026-01-28T23:35:03.493189+05:30
read,47.948,2026-01-28T23:35:03.493189+05:30
read,20.047,2026-01-28T23:35:03.49415+05:30
read,6.047,2026-01-28T23:35:03.494152+05:30
read,14.249,2026-01-28T23:35:03.494153+05:30
read,14.411,2026-01-28T23:35:03.494153+05:30
read,14.583,2026-01-28T23:35:03.494154+05:30
read,14.541,2026-01-28T23:35:03.494155+05:30
read,13.899,2026-01-28T23:35:03.494155+05:30
read,27.703,2026-01-28T23:35:03.494156+05:30
read,41.438,2026-01-28T23:35:03.494156+05:30
read,42.231,2026-01-28T23:35:03.494157+05:30
read,55.815,2026-01-28T23:35:03.494157+05:30
read,14.496,2026-01-28T23:35:03.49419+05:30
read,41.566,2026-01-28T23:35:03.494191+05:30
read,55.508,2026-01-28T23:35:03.494191+05:30
read,56.044,2026-01-28T23:35:03.494192+05:30
read,42.026,2026-01-28T23:35:03.494192+05:30
read,41.966,2026-01-28T23:35:03.494193+05:30
read,35.839,2026-01-28T23:35:03.494193+05:30
read,36.037,2026-01-28T23:35:03.494194+05:30
read,27.995,2026-01-28T23:35:03.494194+05:30
read,27.929,2026-01-28T23:35:03.494195+05:30
read,27.898,2026-01-28T23:35:03.494195+05:30
read,28.144,2026-01-28T23:35:03.494196+05:30
read,42.069,2026-01-28T23:35:03.494197+05:30
read,14.480,2026-01-28T23:35:03.494197+05:30
read,14.460,2026-01-28T23:35:03.494198+05:30
read,28.462,2026-01-28T23:35:03.494198+05:30
read,14.723,2026-01-28T23:35:03.494199+05:30
read,14.791,2026-01-28T23:35:03.494199+05:30
read,14.077,2026-01-28T23:35:03.4942+05:30
read,13.757,2026-01-28T23:35:03.4942+05:30
read,13.769,2026-01-28T23:35:03.494201+05:30
read,13.795,2026-01-28T23:35:03.494201+05:30
read,13.852,2026-01-28T23:35:03.494202+05:30
read,27.298,2026-01-28T23:35:03.494202+05:30
read,27.743,2026-01-28T23:35:03.494203+05:30
read,27.711,2026-01-28T23:35:03.494203+05:30
read,27.785,2026-01-28T23:35:03.494204+05:30
read,41.841,2026-01-28T23:35:03.494204+05:30
read,28.026,2026-01-28T23:35:03.494205+05:30
read,28.064,2026-01-28T23:35:03.494205+05:30
read,13.897,2026-01-28T23:35:03.494206+05:30
read,62.908,2026-01-28T23:35:03.494206+05:30
read,64.128,2026-01-28T23:35:03.494207+05:30
read,64.244,2026-01-28T23:35:03.494207+05:30
read,36.357,2026-01-28T23:35:03.494208+05:30
read,14.561,2026-01-28T23:35:03.494208+05:30
read,27.735,2026-01-28T23:35:03.494209+05:30
read,14.307,2026-01-28T23:35:03.494209+05:30
read,13.978,2026-01-28T23:35:03.49421+05:30
read,14.026,2026-01-28T23:35:03.49421+05:30
read,14.150,2026-01-28T23:35:03.494211+05:30
read,34.569,2026-01-28T23:35:03.494211+05:30
read,27.286,2026-01-28T23:35:03.494212+05:30
read,47.970,2026-01-28T23:35:03.494212+05:30
read,48.073,2026-01-28T23:35:03.494213+05:30
read,13.203,2026-01-28T23:35:03.494213+05:30
read,27.625,2026-01-28T23:35:03.494214+05:30
read,13.998,2026-01-28T23:35:03.494214+05:30
read,13.993,2026-01-28T23:35:03.494215+05:30
read,14.111,2026-01-28T23:35:03.494215+05:30
read,13.891,2026-01-28T23:35:03.494216+05:30
read,13.956,2026-01-28T23:35:03.494216+05:30
read,14.151,2026-01-28T23:35:03.494217+05:30
read,19.949,2026-01-28T23:35:03.494217+05:30
read,33.897,2026-01-28T23:35:03.494218+05:30
read,33.898,2026-01-28T23:35:03.494218+05:30
read,27.980,2026-01-28T23:35:03.494219+05:30
read,33.910,2026-01-28T23:35:03.494219+05:30
read,47.830,2026-01-28T23:35:03.49422+05:30
read,27.998,2026-01-28T23:35:03.49422+05:30
read,42.028,2026-01-28T23:35:03.494221+05:30
read,42.080,2026-01-28T23:35:03.494221+05:30
read,35.887,2026-01-28T23:35:03.494222+05:30
read,35.921,2026-01-28T23:35:03.494222+05:30
read,35.933,2026-01-28T23:35:03.494223+05:30
read,28.312,2026-01-28T23:35:03.494223+05:30
read,28.658,2026-01-28T23:35:03.494224+05:30
read,28.882,2026-01-28T23:35:03.494224+05:30
read,15.158,2026-01-28T23:35:03.494225+05:30
read,20.834,2026-01-28T23:35:03.494225+05:30
read,20.164,2026-01-28T23:35:03.494229+05:30
read,20.080,2026-01-28T23:35:03.494229+05:30
read,20.368,2026-01-28T23:35:03.49423+05:30
read,14.231,2026-01-28T23:35:03.49423+05:30
read,14.580,2026-01-28T23:35:03.494231+05:30
read,0.514,2026-01-28T23:35:03.494231+05:30
read,0.737,2026-01-28T23:35:03.494232+05:30
read,8.557,2026-01-28T23:35:03.494232+05:30
read,8.673,2026-01-28T23:35:03.494233+05:30
read,9.013,2026-01-28T23:35:03.494233+05:30
read,22.410,2026-01-28T23:35:03.494234+05:30
read,32.717,2026-01-28T23:35:03.494234+05:30
