timestamp,size_bytes,size_mb
2026-01-28T23:30:03.38032+05:30,8938056,8.52
2026-01-28T23:30:04.449947+05:30,9013188,8.60
2026-01-28T23:30:05.449825+05:30,9084632,8.66
2026-01-28T23:30:06.450053+05:30,9165802,8.74
2026-01-28T23:30:07.450565+05:30,9242056,8.81
2026-01-28T23:30:08.450511+05:30,9313755,8.88
2026-01-28T23:30:09.449655+05:30,9382590,8.95
2026-01-28T23:30:10.450468+05:30,9449734,9.01
2026-01-28T23:30:11.449482+05:30,9520256,9.08
2026-01-28T23:30:12.450441+05:30,9590833,9.15
2026-01-28T23:30:13.450696+05:30,9661410,9.21
2026-01-28T23:30:14.450519+05:30,9731626,9.28
2026-01-28T23:30:15.450135+05:30,9797644,9.34
2026-01-28T23:30:16.450476+05:30,9864894,9.41
2026-01-28T23:30:17.450159+05:30,9929174,9.47
2026-01-28T23:30:18.449791+05:30,9991814,9.53
2026-01-28T23:30:19.4496+05:30,10053328,9.59
2026-01-28T23:30:20.449713+05:30,10121292,9.65
2026-01-28T23:30:21.449708+05:30,10196369,9.72
2026-01-28T23:30:22.449554+05:30,10265510,9.79
2026-01-28T23:30:23.450148+05:30,10335726,9.86
2026-01-28T23:30:24.45066+05:30,10404714,9.92
2026-01-28T23:30:25.449487+05:30,10471654,9.99
2026-01-28T23:30:26.449995+05:30,10544432,10.06
2026-01-28T23:30:27.450484+05:30,10611270,10.12
2026-01-28T23:30:28.450219+05:30,10679238,10.18
2026-01-28T23:30:29.44955+05:30,10752322,10.25
2026-01-28T23:30:30.449404+05:30,10831648,10.33
2026-01-28T23:30:31.449537+05:30,10903759,10.40
2026-01-28T23:30:32.450202+05:30,10974077,10.47
2026-01-28T23:30:33.450191+05:30,11048283,10.54
2026-01-28T23:30:34.450063+05:30,11119982,10.60
2026-01-28T23:30:35.450303+05:30,11192450,10.67
2026-01-28T23:30:36.4499+05:30,11270599,10.75
2026-01-28T23:30:37.449581+05:30,11342247,10.82
2026-01-28T23:30:38.449978+05:30,11412000,10.88
2026-01-28T23:30:39.450286+05:30,11486363,10.95
2026-01-28T23:30:40.450585+05:30,11558780,11.02
2026-01-28T23:30:41.449359+05:30,11631146,11.09
2026-01-28T23:30:42.450232+05:30,11701005,11.16
2026-01-28T23:30:43.449346+05:30,11767996,11.22
2026-01-28T23:30:44.449514+05:30,11847887,11.30
2026-01-28T23:30:45.45041+05:30,11923066,11.37
2026-01-28T23:30:46.45031+05:30,11995840,11.44
2026-01-28T23:30:47.449459+05:30,12075578,11.52
2026-01-28T23:30:48.449812+05:30,12149886,11.59
2026-01-28T23:30:49.449775+05:30,12226344,11.66
2026-01-28T23:30:50.449554+05:30,12297478,11.73
2026-01-28T23:30:51.450372+05:30,12377726,11.80
2026-01-28T23:30:52.449796+05:30,12450857,11.87
2026-01-28T23:30:53.449305+05:30,12521277,11.94
2026-01-28T23:30:54.449312+05:30,12589292,12.01
2026-01-28T23:30:55.449551+05:30,12659814,12.07
2026-01-28T23:30:56.450068+05:30,12731615,12.14
2026-01-28T23:30:57.450235+05:30,12805672,12.21
2026-01-28T23:30:58.449417+05:30,12875735,12.28
2026-01-28T23:30:59.449431+05:30,12950251,12.35
2026-01-28T23:31:00.450068+05:30,13026764,12.42
2026-01-28T23:31:01.450081+05:30,13098004,12.49
2026-01-28T23:31:02.449229+05:30,13167706,12.56
2026-01-28T23:31:03.449252+05:30,13239966,12.63
2026-01-28T23:31:04.449762+05:30,13309668,12.69
2026-01-28T23:31:05.450004+05:30,13380904,12.76
2026-01-28T23:31:06.450233+05:30,13460026,12.84
2026-01-28T23:31:07.44964+05:30,13537100,12.91
2026-01-28T23:31:08.449389+05:30,13608442,12.98
2026-01-28T23:31:09.449867+05:30,13678760,13.05
2026-01-28T23:31:10.450039+05:30,13752303,13.12
2026-01-28T23:31:11.450119+05:30,13823951,13.18
2026-01-28T23:31:12.44984+05:30,13896572,13.25
2026-01-28T23:31:13.449222+05:30,13964740,13.32
2026-01-28T23:31:14.449947+05:30,14037463,13.39
2026-01-28T23:31:15.449938+05:30,14110033,13.46
2026-01-28T23:31:16.449423+05:30,14186185,13.53
2026-01-28T23:31:17.450216+05:30,14257986,13.60
2026-01-28T23:31:18.449673+05:30,14324824,13.66
2026-01-28T23:31:19.449683+05:30,14392019,13.73
2026-01-28T23:31:20.449239+05:30,14460238,13.79
2026-01-28T23:31:21.449426+05:30,14538438,13.86
2026-01-28T23:31:22.449561+05:30,14613566,13.94
2026-01-28T23:31:23.449506+05:30,14687517,14.01
2026-01-28T23:31:24.449707+05:30,14754610,14.07
2026-01-28T23:31:25.450106+05:30,14825183,14.14
2026-01-28T23:31:26.450137+05:30,14896525,14.21
2026-01-28T23:31:27.449755+05:30,14965101,14.27
2026-01-28T23:31:28.449975+05:30,15033936,14.34
2026-01-28T23:31:29.44976+05:30,15102767,14.40
2026-01-28T23:31:30.449802+05:30,15180147,14.48
2026-01-28T23:31:31.450063+05:30,15253839,14.55
2026-01-28T23:31:32.449691+05:30,15327535,14.62
2026-01-28T23:31:33.449786+05:30,15403483,14.69
2026-01-28T23:31:34.449163+05:30,15482142,14.76
2026-01-28T23:31:35.449244+05:30,15556862,14.84
2026-01-28T23:31:36.449257+05:30,15632300,14.91
2026-01-28T23:31:37.449531+05:30,15703948,14.98
2026-01-28T23:31:38.449611+05:30,15780716,15.05
2026-01-28T23:31:39.450047+05:30,15851340,15.12
2026-01-28T23:31:40.449256+05:30,15922117,15.18
2026-01-28T23:31:41.449625+05:30,15995558,15.25
2026-01-28T23:31:42.449293+05:30,16067924,15.32
2026-01-28T23:31:43.449931+05:30,16138803,15.39
2026-01-28T23:31:44.449668+05:30,16210808,15.46
2026-01-28T23:31:45.449577+05:30,16284402,15.53
2026-01-28T23:31:46.449841+05:30,16355999,15.60
2026-01-28T23:31:47.449303+05:30,16426419,15.67
2026-01-28T23:31:48.449187+05:30,16494383,15.73
2026-01-28T23:31:49.449611+05:30,16564140,15.80
2026-01-28T23:31:50.449545+05:30,16630464,15.86
2026-01-28T23:31:51.449467+05:30,16701139,15.93
2026-01-28T23:31:52.44997+05:30,16770072,15.99
2026-01-28T23:31:53.449233+05:30,16841516,16.06
2026-01-28T23:31:54.44996+05:30,16912242,16.13
2026-01-28T23:31:55.44963+05:30,16983329,16.20
2026-01-28T23:31:56.450369+05:30,17055848,16.27
2026-01-28T23:31:57.449174+05:30,17122478,16.33
2026-01-28T23:31:58.449318+05:30,17192129,16.40
2026-01-28T23:31:59.449208+05:30,17252976,16.45
2026-01-28T23:32:00.448862+05:30,17314184,16.51
2026-01-28T23:32:01.44973+05:30,17379131,16.57
2026-01-28T23:32:02.449301+05:30,17442336,16.63
2026-01-28T23:32:03.449904+05:30,17503952,16.69
2026-01-28T23:32:04.44969+05:30,17566286,16.75
2026-01-28T23:32:05.449694+05:30,17629644,16.81
2026-01-28T23:32:06.448957+05:30,17687266,16.87
